title,company,location,job_url,site,date_posted
Customer Success Manager (Japan),Regask,"Remote, US",https://www.indeed.com/viewjob?jk=eb158396ac915ba5,indeed,2026-09-07
Bilingual Japanese STEM Expert (PhD) — AI Safety,,"Remote, US",https://www.indeed.com/viewjob?jk=027cf3edcd455c71,indeed,2026-07-11
Bilingual Japanese Generalist Expert — AI Safety Evaluation,,"Remote, US",https://www.indeed.com/viewjob?jk=f17e0f734ad88674,indeed,2026-06-22
Image Caption Review - Japanese (Bilingual),,"Remote, US",https://www.indeed.com/viewjob?jk=09bbade942bb0589,indeed,2026-06-14
"Japanese-English Bilingual Writer - AI Output Evaluation (Remote, Japan)",,"Remote, US",https://www.indeed.com/viewjob?jk=1ced150202601ee4,indeed,2026-05-31
